Device ID,Time,Temperature,Humidity,Temperature_ma,Humidity_ma
"""inTelli-Gee_prototype_v0.1_serial_1""",314.0,20.9,74.8,,
"""inTelli-Gee_prototype_v0.1_serial_1""",315.0,20.9,74.8,,
"""inTelli-Gee_prototype_v0.1_serial_1""",316.0,21.0,74.9,,
"""inTelli-Gee_prototype_v0.1_serial_1""",317.0,21.0,74.9,,
"""inTelli-Gee_prototype_v0.1_serial_1""",318.0,21.0,74.9,,
"""inTelli-Gee_prototype_v0.1_serial_1""",319.0,21.0,74.9,,
"""inTelli-Gee_prototype_v0.1_serial_1""",320.0,20.9,74.9,,
"""inTelli-Gee_prototype_v0.1_serial_1""",321.0,20.9,74.9,,
"""inTelli-Gee_prototype_v0.1_serial_1""",322.0,21.0,75.0,,
"""inTelli-Gee_prototype_v0.1_serial_1""",323.0,21.0,75.0,,
"""inTelli-Gee_prototype_v0.1_serial_1""",324.0,20.9,74.8,,
"""inTelli-Gee_prototype_v0.1_serial_1""",325.0,20.9,74.8,,
"""inTelli-Gee_prototype_v0.1_serial_1""",326.0,20.9,74.9,,
"""inTelli-Gee_prototype_v0.1_serial_1""",327.0,20.9,74.9,,
"""inTelli-Gee_prototype_v0.1_serial_1""",328.0,20.9,74.8,,
"""inTelli-Gee_prototype_v0.1_serial_1""",329.0,20.9,74.8,,
"""inTelli-Gee_prototype_v0.1_serial_1""",330.0,20.8,74.3,,
"""inTelli-Gee_prototype_v0.1_serial_1""",331.0,20.8,74.3,,
"""inTelli-Gee_prototype_v0.1_serial_1""",332.0,21.0,74.3,,
"""inTelli-Gee_prototype_v0.1_serial_1""",333.0,21.0,74.3,,
"""inTelli-Gee_prototype_v0.1_serial_1""",334.0,21.0,74.3,,
"""inTelli-Gee_prototype_v0.1_serial_1""",335.0,21.0,74.3,,
"""inTelli-Gee_prototype_v0.1_serial_1""",336.0,21.0,74.3,,
"""inTelli-Gee_prototype_v0.1_serial_1""",337.0,21.0,74.3,,
"""inTelli-Gee_prototype_v0.1_serial_1""",338.0,21.0,74.3,,
"""inTelli-Gee_prototype_v0.1_serial_1""",339.0,21.0,74.3,,
"""inTelli-Gee_prototype_v0.1_serial_1""",340.0,20.9,74.3,,
"""inTelli-Gee_prototype_v0.1_serial_1""",341.0,20.9,74.3,,
"""inTelli-Gee_prototype_v0.1_serial_1""",342.0,20.9,74.4,,
"""inTelli-Gee_prototype_v0.1_serial_1""",343.0,20.9,74.4,,
"""inTelli-Gee_prototype_v0.1_serial_1""",344.0,20.9,74.4,,
"""inTelli-Gee_prototype_v0.1_serial_1""",345.0,20.9,74.4,,
"""inTelli-Gee_prototype_v0.1_serial_1""",346.0,21.0,74.6,,
"""inTelli-Gee_prototype_v0.1_serial_1""",347.0,21.0,74.6,,
"""inTelli-Gee_prototype_v0.1_serial_1""",348.0,20.9,74.6,,
"""inTelli-Gee_prototype_v0.1_serial_1""",349.0,20.9,74.6,,
"""inTelli-Gee_prototype_v0.1_serial_1""",350.0,20.9,74.6,,
"""inTelli-Gee_prototype_v0.1_serial_1""",351.0,20.9,74.6,,
"""inTelli-Gee_prototype_v0.1_serial_1""",352.0,20.8,74.4,,
"""inTelli-Gee_prototype_v0.1_serial_1""",353.0,20.8,74.4,,
"""inTelli-Gee_prototype_v0.1_serial_1""",354.0,20.9,74.5,,
"""inTelli-Gee_prototype_v0.1_serial_1""",355.0,20.9,74.5,,
"""inTelli-Gee_prototype_v0.1_serial_1""",356.0,20.9,74.5,,
"""inTelli-Gee_prototype_v0.1_serial_1""",357.0,20.9,74.5,,
"""inTelli-Gee_prototype_v0.1_serial_1""",358.0,20.8,74.5,,
"""inTelli-Gee_prototype_v0.1_serial_1""",359.0,20.8,74.5,,
"""inTelli-Gee_prototype_v0.1_serial_1""",360.0,20.9,74.8,,
"""inTelli-Gee_prototype_v0.1_serial_1""",361.0,20.9,74.8,,
"""inTelli-Gee_prototype_v0.1_serial_1""",362.0,20.9,74.8,,
"""inTelli-Gee_prototype_v0.1_serial_1""",363.0,20.9,74.8,,
